# ----------------------------------------
# Curious
# Curious Data Export MASTER-Free-form 1
# 20250127-20250130
# ----------------------------------------

Date + hour (YYYYMMDDHH),Landing page + query string,Page title,Session source,Browser,Views,Views per session,Views per active user,Average engagement time per session
2025012917,/2054/index.html?EID=S3,Factfile: Valentini puffer,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,3
2025012917,/2054/index.html?EID=S3,Scan to Start | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,12
2025012921,/2054/index.html?EID=ST1,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025012921,/2054/index.html?EID=ST1,Explore: Reef Wall,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,12
2025012921,/2054/index.html?EID=ST1,Factfile: Tobacco Bass,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,3
2025012921,/2054/index.html?EID=ST1,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,1
2025013000,/2054/get-started.html,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025013000,/2054/get-started.html,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025013011,/2054/index.html?EID=A6,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025013016,/2054/get-started.html,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,8,8,8,0
2025013016,/2054/get-started.html,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,3,3,3,52
2025013016,/2054/get-started.html,Explore: Macaques,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,1
2025013016,/2054/get-started.html,Explore: Meerkats,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,6
2025013016,/2054/get-started.html,Explore: Squirels,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,2
2025013016,/2054/get-started.html,Explore: Sub 3,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,7
2025013016,/2054/get-started.html,Factfile: Bluecheek Butterfly Fish,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,4
2025013016,/2054/get-started.html,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,28
2025013016,/2054/get-started.html,Profile: Hank,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,3
2025013016,/2054/get-started.html,Profile: Patrick,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,18
2025013016,/2054/get-started.html,Scan a QR code to start,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,2,2,2,0
2025013016,/2054/get-started.html,Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,18
2025013020,/2054/index.html?EID=1,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025013021,/2054/index.html?EID=1,(not set),1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,0
2025013021,/2054/index.html?EID=1,Curious | Portal,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,1
2025013021,/2054/index.html?EID=1,Get Started | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,1,1,1,4
2025013021,/2054/index.html?EID=1,Listen: Plant Room | Sealife Adventure,1041-2a00-23c6-54df-9f00-3428-a238-a37c-a400.ngrok-free.app,Safari,0,0,0,118

